"","fips","Warm","Cold","ppt","series","SYMBOL","SI_m","SI_ft"
"12",26009,14.8,-12.19,780.550937126804,"ALLENDALE","POGR4",24.1825932605311,79.3392167340258
"250",26009,14.8,-12.19,780.550937126804,"IOSCO","POGR4",24.3043128102198,79.7385590886475
"216",26009,14.8,-12.19,780.550937126804,"ENSLEY","POGR4",24.3483624362467,79.8830788590772
"420",26009,14.8,-12.19,780.550937126804,"ONAWAY","POGR4",24.3992934584947,80.050175388762
"165",26009,14.8,-12.19,780.550937126804,"DEFORD","POGR4",24.4874871753579,80.3395248535364
"97",26009,14.8,-12.19,780.550937126804,"CHARLEVOIX","POGR4",24.556049422743,80.5644666100492
"63",26009,14.8,-12.19,780.550937126804,"BLUE LAKE","POGR4",25.4589306821354,83.5266754663236
"199",26009,14.8,-12.19,780.550937126804,"EMMET","POGR4",25.7541433701439,84.4952210306558
"386",26009,14.8,-12.19,780.550937126804,"MENOMINEE","POGR4",26.1929448877067,85.9348585554681
"471",26009,14.8,-12.19,780.550937126804,"SPRINGLAKE","POGR4",26.8470200653679,88.0807744926767
"267",26009,14.8,-12.19,780.550937126804,"ISLANDLAKE","POGR4",27.2296406512477,89.3360913754845
"149",26009,14.8,-12.19,780.550937126804,"DEER PARK","POTR5",17.7321492951139,58.1763428317384
"319",26009,14.8,-12.19,780.550937126804,"KINROSS","POTR5",18.4897446828105,60.6618920039715
"183",26009,14.8,-12.19,780.550937126804,"EAST LAKE","POTR5",19.3069751138805,63.3430942056447
"132",26009,14.8,-12.19,780.550937126804,"DAWSON","POTR5",19.53147562133,64.0796444269356
"336",26009,14.8,-12.19,780.550937126804,"LEELANAU","POTR5",19.659823726649,64.5007340113156
"353",26009,14.8,-12.19,780.550937126804,"LUPTON","POTR5",19.8037759777918,64.9730182998419
"438",26009,14.8,-12.19,780.550937126804,"OTISCO","POTR5",20.7390100383509,68.0413715168992
"489",26009,14.8,-12.19,780.550937126804,"TAWAS","POTR5",21.3607789057475,70.0812956225311
"81",26009,14.8,-12.19,780.550937126804,"CATHRO","POTR5",21.6229690577732,70.9414995333768
"455",26009,14.8,-12.19,780.550937126804,"RUBICON","POTR5",21.9607080388161,72.0495670564834
"30",26009,14.8,-12.19,780.550937126804,"ANGELICA","POTR5",22.0528005593808,72.3517078719843
