"","series","SYMBOL","Nrows","siMin","siMax","siMean"
"115","DEERTON","POGR4",1,85.4643607038003,85.4643607038003,85.4643607038003
"116","DEFORD","ACRU",2,63.949867441047,63.949867441047,63.949867441047
"117","DEFORD","BEPA",1,60.8309956028441,60.8309956028441,60.8309956028441
"118","DEFORD","FRAM2",3,62.6835752238571,85.4643607038003,70.9115119014931
"119","DEFORD","FRNI",1,49.8042068403999,49.8042068403999,49.8042068403999
"120","DEFORD","THOC2",1,31.7565643506327,31.7565643506327,31.7565643506327
"121","DIGHTON","ACRU",1,81.2962146475974,81.2962146475974,81.2962146475974
"122","DIGHTON","ACSA3",3,51.8367550795945,66.5597110408167,59.428037205577
"123","DIGHTON","BEPA",1,56.7184443588177,56.7184443588177,56.7184443588177
"124","DIGHTON","FAGR",1,49.8042068403999,49.8042068403999,49.8042068403999
"125","DIGHTON","FRAM2",2,67.9043063956348,93.5129056554045,79.6864417424362
"126","DIGHTON","POGR4",1,72.8279241517114,72.8279241517114,72.8279241517114
"127","DIGHTON","QUAL",1,63.949867441047,63.949867441047,63.949867441047
"128","DIGHTON","QURU",1,59.6264611858368,59.6264611858368,59.6264611858368
"129","DIGHTON","TIAM",2,62.6835752238571,67.9043063956348,65.2417404578895
"130","EAGLECAP","PIEN",1,62.6835752238571,62.6835752238571,62.6835752238571
"131","EAST LAKE","PIRE",1,46.9038356255827,46.9038356255827,46.9038356255827
"132","EAST LAKE","POGR4",1,55.5953439125362,55.5953439125362,55.5953439125362
"133","EASTPORT","PIBA2",2,39.9688122070324,46.9038356255827,43.2976973742072
"134","EASTPORT","PIST",1,34.7472160512919,34.7472160512919,34.7472160512919
"135","EDWARDS","LALA",1,52.883926994841,52.883926994841,52.883926994841
"136","EDWARDS","THOC2",1,30.8180160349173,30.8180160349173,30.8180160349173
"137","EMMET","ACSA3",15,56.7184443588177,71.3858346331925,63.482617091732
"138","EMMET","BEPA",1,64.5925742938399,64.5925742938399,64.5925742938399
"139","EMMET","FRAM2",1,56.7184443588177,56.7184443588177,56.7184443588177
"140","EMMET","POGR4",3,64.5925742938399,85.4643607038003,73.3150656468134
"141","EMMET","POTR5",1,61.4423572725489,61.4423572725489,61.4423572725489
"142","EMMET","PRSE2",1,71.3858346331925,71.3858346331925,71.3858346331925
"143","EMMET","TIAM",2,56.7184443588177,61.4423572725489,59.033167984089
"144","EPWORTH","POGR4",1,76.5618916697595,76.5618916697595,76.5618916697595
"145","ERIE","QURU",1,69.9723004003507,69.9723004003507,69.9723004003507
"146","FARMINGTON","ACSA3",2,42.8668780870556,45.9750774531943,44.3937838016655
"147","FARMINGTON","CAOV2",1,32.7236957178961,32.7236957178961,32.7236957178961
"148","FARMINGTON","FRAM2",2,39.9688122070324,43.7328464671777,41.8084910960155
"149","FARMINGTON","PIST",1,32.7236957178961,32.7236957178961,32.7236957178961
"150","FARMINGTON","QUMA2",1,39.9688122070324,39.9688122070324,39.9688122070324
"151","FARMINGTON","TIAM",1,39.9688122070324,39.9688122070324,39.9688122070324
"152","Feldhauser","ACSA3",2,79.6864417424362,85.4643607038003,82.5248495925799
"153","Feldhauser","TIAM",1,93.5129056554045,93.5129056554045,93.5129056554045
"154","FINCH","ACRU",1,57.8642329390988,57.8642329390988,57.8642329390988
"155","FINCH","PIBA2",4,33.7202806202213,59.6264611858368,45.9750774531943
"156","FINCH","PIMA",2,37.6412097860723,45.9750774531943,41.5999703767516
"157","FINCH","PIRE",3,49.8042068403999,55.5953439125362,52.3577231292455
"158","FINCH","PIST",2,46.9038356255827,60.8309956028441,53.4154192972061
"159","FINCH","POGR4",1,67.9043063956348,67.9043063956348,67.9043063956348
"160","FINCH","POTR5",1,48.8180174700552,48.8180174700552,48.8180174700552
"161","GAY","ACRU",1,59.6264611858368,59.6264611858368,59.6264611858368
"162","GAY","BEPA",1,64.5925742938399,64.5925742938399,64.5925742938399
"163","GAY","FRNI",1,52.883926994841,52.883926994841,52.883926994841
"164","GAY","POTR5",2,69.9723004003507,74.2991458109429,72.1032741986989
"165","GEORGIA","ACSA3",1,55.5953439125362,55.5953439125362,55.5953439125362
"166","GEORGIA","FRAM2",1,63.949867441047,63.949867441047,63.949867441047
"167","GILCHRIST","PIRE",1,67.9043063956348,67.9043063956348,67.9043063956348
"168","GILFORD","ACRU",1,72.8279241517114,72.8279241517114,72.8279241517114
